Temperature density viscosity   Re
2.0403306558    0.55    0.7580951854    0.725502563
2.1773073603    0.55    0.7875407912    0.6983765237
0.1519975369    0.65    0.7083009751    0.9176889809
0.2706079969    0.65    0.7640988299    0.8506752982
0.203343725 0.65    0.753508825 0.8626309054
0.3288414202    0.65    0.7940441135    0.8185943185
0.2543284284    0.65    0.7802893508    0.8330243125
0.3827561042    0.65    0.8130126046    0.7994955999
0.305040522 0.65    0.8004868151    0.8120058791
0.4370912412    0.65    0.8323509134    0.7809206304
0.3542912261    0.65    0.8159206135    0.796646131
0.4907353806    0.65    0.8551437476    0.7601061246
0.404546574 0.65    0.8376349629    0.7759943517
0.5423905351    0.65    0.870635754 0.7465808715
0.453988705 0.65    0.8598976267    0.7559039353
0.5938738634    0.65    0.8846074072    0.734789235
0.5034258705    0.65    0.8641036297    0.7522245917
0.6443406309    0.65    0.8936693963    0.727338323
0.5528132413    0.65    0.8824677042    0.7365708647
0.6957327837    0.65    0.9053640583    0.717943234
0.6023632815    0.65    0.8887881371    0.7313328935
0.7449951878    0.65    0.9170436288    0.7087994285
0.6525273687    0.65    0.9073406447    0.7163792384
0.7958680727    0.65    0.9248894581    0.702786689
0.7513024291    0.65    0.9110477891    0.7134642198
0.8949383131    0.65    0.9377681343    0.6931350899
0.8518440419    0.65    0.9346780335    0.6954266354
0.994243728 0.65    0.9531381803    0.6819577827
0.9489729196    0.65    0.9646871984    0.6737935375
