3888,5.1299,30.78,30.78,4.1405,4.2825,0.24964,0.043538,47000
4332,5.1299,32.49,32.49,4.1434,4.2824,0.25067,0.041225,49000
4800,5.1299,34.2,34.2,4.1476,4.2827,0.24544,0.039184,51000
144,6.8399,5.1299,5.1299,3.9887,4.2428,0.64267,0.2188,17000
256,6.8399,6.8399,6.8399,4.03,4.2759,0.50413,0.17095,19000
400,6.8399,8.5499,8.5499,4.0648,4.2638,0.44718,0.12875,21000
576,6.8399,10.26,10.26,4.0937,4.2803,0.43845,0.10993,23000
784,6.8399,11.97,11.97,4.1061,4.2826,0.36806,0.093478,25000
1024,6.8399,13.68,13.68,4.1363,4.2803,0.35602,0.082893,27000
1296,6.8399,15.39,15.39,4.1213,4.2832,0.32511,0.075456,29000
1600,6.8399,17.1,17.1,4.1374,4.2863,0.29887,0.066208,31000
1936,6.8399,18.81,18.81,4.1529,4.2843,0.29216,0.059982,33000
2304,6.8399,20.52,20.52,4.1464,4.2853,0.27962,0.056295,35000
2704,6.8399,22.23,22.23,4.1537,4.2856,0.26539,0.051852,37000
3136,6.8399,23.94,23.94,4.1613,4.2853,0.2579,0.047888,39000
3600,6.8399,25.65,25.65,4.1689,4.2863,0.25548,0.044289,41000
4096,6.8399,27.36,27.36,4.1717,4.2857,0.23856,0.042894,43000
4624,6.8399,29.07,29.07,4.1725,4.2854,0.23378,0.039852,45000
5184,6.8399,30.78,30.78,4.1693,4.2885,0.22748,0.037924,47000
5776,6.8399,32.49,32.49,4.168,4.2874,0.21998,0.0358,49000
6400,6.8399,34.2,34.2,4.1765,4.2873,0.21453,0.03343,51000
180,8.5499,5.1299,5.1299,4.0224,4.2682,0.59929,0.20643,17000
320,8.5499,6.8399,6.8399,4.0697,4.2762,0.47825,0.15279,19000
500,8.5499,8.5499,8.5499,4.0855,4.2731,0.43981,0.11486,21000
720,8.5499,10.26,10.26,4.1079,4.2779,0.36679,0.098534,23000
980,8.5499,11.97,11.97,4.1289,4.2875,0.36648,0.087534,25000
1280,8.5499,13.68,13.68,4.1461,4.287,0.32954,0.075048,27000
1620,8.5499,15.39,15.39,4.137,4.2897,0.3032,0.065024,29000
2000,8.5499,17.1,17.1,4.164,4.2856,0.28611,0.060575,31000
2420,8.5499,18.81,18.81,4.1692,4.2861,0.26827,0.055733,33000
2880,8.5499,20.52,20.52,4.1725,4.2899,0.24911,0.049189,35000
3380,8.5499,22.23,22.23,4.1803,4.2889,0.24591,0.04683,37000
3920,8.5499,23.94,23.94,4.1768,4.2863,0.23893,0.042099,39000
4500,8.5499,25.65,25.65,4.183,4.2884,0.22853,0.040292,41000
5120,8.5499,27.36,27.36,4.1834,4.2879,0.22226,0.037974,43000
5780,8.5499,29.07,29.07,4.1898,4.2881,0.21564,0.03501,45000
6480,8.5499,30.78,30.78,4.1864,4.2896,0.20549,0.033377,47000
7220,8.5499,32.49,32.49,4.1907,4.2894,0.19483,0.031508,49000
8000,8.5499,34.2,34.2,4.1942,4.2903,0.19682,0.030028,51000
216,10.26,5.1299,5.1299,4.01,4.2601,0.57043,0.18124,17000
384,10.26,6.8399,6.8399,4.0717,4.277,0.44778,0.13407,19000
600,10.26,8.5499,8.5499,4.0976,4.2814,0.40152,0.10963,21000
864,10.26,10.26,10.26,4.1279,4.2832,0.36673,0.092744,23000
1176,10.26,11.97,11.97,4.1376,4.2857,0.32818,0.083922,25000
1536,10.26,13.68,13.68,4.158,4.2887,0.30129,0.06853,27000
1944,10.26,15.39,15.39,4.1702,4.2879,0.27887,0.059017,29000
2400,10.26,17.1,17.1,4.1698,4.2918,0.27206,0.05514,31000
2904,10.26,18.81,18.81,4.1753,4.2872,0.25168,0.050508,33000
3456,10.26,20.52,20.52,4.1828,4.2871,0.24167,0.045463,35000
4056,10.26,22.23,22.23,4.1909,4.2877,0.22949,0.042283,37000
4704,10.26,23.94,23.94,4.1925,4.2881,0.22351,0.040705,39000
5400,10.26,25.65,25.65,4.1887,4.288,0.21632,0.037039,41000
6144,10.26,27.36,27.36,4.2011,4.2888,0.20413,0.034659,43000
6936,10.26,29.07,29.07,4.1934,4.288,0.19894,0.031606,45000
7776,10.26,30.78,30.78,4.1982,4.2885,0.19013,0.03144,47000
8664,10.26,32.49,32.49,4.1978,4.2874,0.18298,0.027923,49000
9600,10.26,34.2,34.2,4.205,4.2892,0.18115,0.027278,51000
252,11.97,5.1299,5.1299,4.0327,4.2828,0.52749,0.16849,17000
